#PTM ID	Entrez Gene ID	BioGRID ID	Systematic Name	Official Symbol	Synonymns	Relationship	Identity	Author	Pubmed ID	Organism ID	Organism Name	Source Database
31915	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Masumoto H (2002)	11807498	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31916	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Masumoto H (2002)	11807498	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31917	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Masumoto H (2002)	11807498	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31920	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31921	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31924	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31925	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31926	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31927	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31928	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31929	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31930	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31931	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31932	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31933	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31934	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31935	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31936	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31937	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31941	852457	32859	YBR160W	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	kinase	catalytic	Holt LJ (2009)	19779198	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31942	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31943	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31944	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Lopez-Mosqueda J (2010)	20865002	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31946	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Lopez-Mosqueda J (2010)	20865002	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31948	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31949	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31950	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31951	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31952	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31953	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31954	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31954	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Lopez-Mosqueda J (2010)	20865002	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31955	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31955	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Lopez-Mosqueda J (2010)	20865002	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31956	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31956	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Lopez-Mosqueda J (2010)	20865002	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31957	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31958	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Lopez-Mosqueda J (2010)	20865002	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31959	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31960	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31961	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31962	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31963	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31964	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31965	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31966	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31967	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31968	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31969	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
31970	855950	36030	YPL153C	RAD53	LSD1|MEC2|SPK1|serine/threonine/tyrosine protein kinase RAD53|L000001573	kinase	catalytic	Zegerman P (2010)	20835227	559292	Saccharomyces cerevisiae (S288c)	PhosphoGRID
